lon,lat
17.564,-38.4283
17.6105,-38.5542
17.6393,-38.2973
17.6966,-38.498
17.7672,-38.3902
17.8833,-38.6888
17.9349,-38.0545
17.9892,-38.2349
18.0139,-38.623
18.016,-38.343
18.0173,-40.8177
18.0531,-38.9761
18.068,-38.5656
18.1021,-40.8866
18.1426,-40.5349
18.1524,-38.284
18.1596,-38.9495
18.1764,-38.7461
18.1887,-38.4472
18.197,-40.9002
18.2316,-38.6152
18.2825,-38.1626
18.2896,-38.1674
18.3539,-38.9339
18.3608,-38.4882
18.3846,-38.7147
18.3936,-38.3533
18.4045,-37.9902
18.4387,-38.4095
18.4403,-38.5598
18.4735,-38.9829
18.5108,-38.274
18.5137,-39.1974
18.5177,-39.0201
18.593,-37.9627
18.6065,-38.2859
18.6277,-38.3567
18.7439,-38.4542
18.7562,-40.7208
18.7634,-40.8305
18.7694,-38.1758
18.8136,-38.8626
18.8277,-40.6416
18.834,-40.5483
18.8725,-40.379
18.8732,-40.2877
18.8969,-38.5205
18.9625,-38.4532
18.9814,-38.6018
18.9854,-39.9568
18.9889,-38.7301
19.0022,-38.6739
19.0216,-40.3253
19.028,-39.1389
19.0301,-38.7738
19.0975,-38.6186
19.1814,-38.278
19.2146,-39.8802
19.2285,-38.1998
19.2314,-37.8505
19.2346,-40.1278
19.2559,-38.0597
19.2861,-38.433
19.2949,-38.5052
19.3065,-37.999
19.3175,-40.0241
19.3223,-38.1392
19.333,-39.957
19.348,-38.4911
19.3484,-40.5379
19.3757,-38.8109
19.3782,-38.3637
19.4496,-40.054
19.5023,-38.8281
19.5277,-37.8872
19.55,-38.9905
19.5978,-40.5361
19.6019,-39.7288
19.6064,-38.2959
19.6132,-38.3193
19.6155,-39.6824
19.6516,-38.0726
19.654,-40.8375
19.6566,-40.7901
19.7,-38.4157
19.707,-39.564
19.7151,-38.8984
19.7317,-38.3168
19.7661,-38.3012
19.7677,-37.9861
19.7824,-38.4048
19.7843,-38.3051
19.7928,-38.8953
19.8229,-38.6837
19.8241,-38.7551
19.8441,-39.6516
19.907,-38.6148
19.9181,-38.2585
19.9387,-39.6064
19.9393,-37.9303
19.9732,-38.9474
19.9844,-39.5532
19.988,-40.641
19.9922,-40.4993
20.0345,-39.8691
20.0432,-39.7534
20.0904,-38.341
20.1166,-38.8984
20.1233,-38.8523
20.1529,-38.7481
20.1712,-37.9585
20.1874,-37.8508
20.2174,-38.3997
20.2399,-37.6633
20.2547,-39.5397
20.2653,-39.6115
20.2787,-39.5276
20.3004,-40.2204
20.3118,-38.9162
20.3298,-38.7184
20.3468,-38.184
20.3508,-38.688
20.3708,-40.4922
20.3949,-37.8959
20.4021,-39.6441
20.4033,-38.0418
20.4078,-39.967
20.4389,-40.4623
20.4529,-40.4781
20.4608,-40.0804
20.4694,-39.6597
20.4716,-39.6931
20.5592,-40.1611
20.6305,-38.1518
20.6362,-39.708
20.6385,-37.4548
20.6412,-39.4851
20.6552,-39.452
20.6931,-37.7402
20.6954,-40.9166
20.7185,-37.7807
20.741,-37.6654
20.747,-39.9267
20.7675,-39.8369
20.7765,-37.6618
20.8208,-40.797
20.8697,-39.3249
20.8731,-40.1021
20.8847,-40.4895
20.895,-37.5535
20.9094,-39.4761
20.9198,-38.3031
20.9376,-39.5309
20.9401,-37.6439
20.9517,-37.8264
20.956,-40.2198
20.9643,-39.6804
21.0203,-37.1846
21.0224,-37.5741
21.0411,-38.7333
21.0688,-40.9671
21.079,-40.6396
21.0898,-39.3566
21.1028,-40.9703
21.1902,-40.937
21.1958,-39.8717
21.1989,-37.1028
21.2037,-37.1098
21.2232,-37.5695
21.2256,-39.4057
21.2454,-40.3823
21.256,-39.6695
21.2932,-40.7286
21.3171,-40.0994
21.3424,-40.3547
21.3429,-39.4465
21.3452,-37.0436
21.3474,-39.9389
21.3617,-40.8779
21.3874,-40.2461
21.3903,-40.2018
21.3995,-37.3969
21.4245,-36.7613
21.4272,-40.0599
21.4682,-39.8603
21.5443,-40.6772
21.5861,-39.0894
21.5936,-40.0426
21.6659,-40.2905
21.6714,-36.8935
21.6781,-40.3031
21.698,-39.3945
21.7027,-40.2589
21.7037,-39.7721
21.7042,-39.7876
21.7116,-40.0958
21.7232,-40.0818
21.729,-40.4707
21.7433,-36.3135
21.7602,-40.3679
21.7768,-39.5319
21.7878,-39.7977
21.7889,-39.8398
21.7901,-39.9107
21.8008,-39.9472
21.8234,-37.0219
21.8376,-40.5072
21.8421,-40.5512
21.876,-39.0034
21.8857,-40.2127
21.9155,-40.3027
21.9179,-35.8987
21.9654,-39.4288
21.9681,-39.5569
21.9706,-40.5297
21.9711,-40.4655
21.9716,-37.3994
22.0198,-39.2626
22.0415,-39.9256
22.0445,-37.6525
22.0703,-35.6128
22.0726,-35.816
22.0773,-37.9088
22.0869,-39.3739
22.0921,-35.6506
22.1338,-37.1442
22.1354,-40.6975
22.1373,-39.9132
22.1424,-39.4546
22.1653,-39.6104
22.1686,-39.479
22.1822,-39.743
22.1838,-40.3216
22.1972,-39.9368
22.1978,-39.7831
22.251,-39.3293
22.2553,-39.4464
22.2699,-39.3272
22.2734,-39.4573
22.2774,-40.5929
22.3343,-40.1376
22.3396,-37.3714
22.3474,-36.9672
22.3505,-36.2142
22.3737,-40.0518
22.3884,-39.811
22.4213,-39.5398
22.4266,-40.0224
22.4603,-40.6102
22.4642,-35.5582
22.4672,-40.5046
22.4707,-39.8049
22.4931,-39.7454
22.4973,-39.8374
22.5242,-39.8456
22.538,-38.9598
22.5685,-39.4945
22.593,-39.6152
22.6029,-40.4396
22.6041,-39.1739
22.6605,-39.4957
22.6992,-36.8881
22.7125,-40.0114
22.7393,-35.8886
22.7423,-39.4928
22.7714,-39.6206
22.8113,-39.8074
22.8413,-38.8871
22.8602,-39.4665
22.8698,-39.3263
22.9031,-38.8305
22.9851,-39.6729
22.9853,-39.4016
22.994,-39.4982
23.0053,-38.988
23.0201,-35.8867
23.0223,-38.6458
23.0748,-39.7989
23.1192,-40.4308
23.1262,-36.2956
23.1568,-39.4196
23.222,-39.3247
23.232,-35.1079
23.263,-35.7633
23.2668,-35.1414
23.2869,-38.8698
23.2878,-39.3756
23.3265,-38.6584
23.3338,-39.298
23.3391,-38.4185
23.3455,-39.8554
23.3511,-35.8241
23.3538,-35.1339
23.3652,-39.7541
23.3707,-34.999
23.3793,-36.0687
23.3804,-36.0079
23.3815,-35.7162
23.4103,-40.1967
23.4181,-35.2049
23.4182,-35.9219
23.4347,-35.7265
23.4489,-35.922
23.4768,-35.078
23.4929,-39.8627
23.4992,-38.624
