lon,lat
300.567,-43.1026
300.73,-43.8134
300.77,-44.7504
300.841,-44.1692
300.911,-44.8006
301.046,-43.304
301.436,-44.8917
301.456,-44.9389
301.592,-41.9917
301.594,-44.1124
301.865,-42.5065
302.129,-43.0188
302.251,-39.9838
302.535,-42.0176
302.554,-41.9947
302.792,-41.2621
303.046,-44.4523
303.052,-41.2065
303.108,-44.1513
303.124,-40.5056
303.166,-44.5738
303.166,-40.8815
303.177,-44.7469
303.258,-44.6539
303.354,-43.7679
303.46,-44.1396
303.496,-44.2762
303.562,-43.8168
303.596,-44.0849
303.63,-43.9876
303.677,-43.8786
303.726,-44.0351
303.742,-44.1591
303.77,-38.9989
303.794,-44.2478
303.834,-38.0864
303.848,-38.3691
303.853,-42.7803
303.854,-43.7114
303.917,-44.0656
303.923,-43.1281
303.929,-44.1159
304.025,-39.1067
304.073,-37.4293
304.086,-42.7223
304.097,-42.9505
304.111,-43.8458
304.151,-39.2956
304.181,-39.9022
304.182,-38.6887
304.189,-37.5955
304.191,-39.0544
304.207,-42.9617
304.251,-42.67
304.294,-43.1061
304.305,-43.4736
304.322,-38.1191
304.33,-38.7498
304.334,-43.2168
304.337,-43.7831
304.371,-38.9088
304.382,-42.772
304.385,-38.8416
304.393,-43.5328
304.404,-44.0498
304.439,-43.9021
304.444,-43.88
304.449,-43.0991
304.5,-37.6916
304.503,-37.8161
304.508,-42.4178
304.511,-43.4809
304.528,-40.3984
304.545,-42.0699
304.576,-43.4913
304.591,-43.6929
304.599,-37.7177
304.617,-38.7638
304.692,-42.6252
304.693,-42.7744
304.718,-43.008
304.769,-42.1888
304.785,-42.1342
304.793,-41.1592
304.801,-43.7551
304.817,-43.8864
304.841,-41.9561
304.85,-42.1168
304.855,-42.5658
304.875,-38.1068
304.93,-41.0416
304.953,-42.3482
304.972,-37.3044
304.99,-43.1163
305.021,-44.0753
305.032,-43.9214
305.114,-36.802
305.13,-41.493
305.157,-42.5157
305.175,-43.2734
305.177,-36.587
305.18,-36.8124
305.195,-40.8886
305.2,-37.2481
305.217,-43.8314
305.218,-43.8891
305.269,-44.0802
305.273,-44.0407
305.274,-42.4004
305.316,-40.0083
