lon,lat
271.197,25.4664
271.445,25.4994
271.601,26.0864
271.683,25.8878
271.689,25.2546
271.703,26.0534
271.779,25.2864
271.808,25.7193
271.926,24.5453
271.939,25.8222
271.948,25.7925
271.956,26.2359
272.054,26.7269
272.068,24.8748
272.163,27.2387
272.177,24.7896
272.281,25.4554
272.342,26.9068
272.361,24.6373
272.41,26.7519
272.425,24.7899
272.469,23.4185
272.565,23.0821
272.595,27.048
272.605,24.858
272.806,26.4617
272.855,23.0539
272.857,26.3272
272.869,24.4609
272.89,26.3417
272.907,26.7217
272.94,24.4325
272.961,24.7134
273.071,26.6744
273.123,22.263
273.125,24.0554
273.193,26.8204
273.201,22.5386
273.228,22.5004
273.25,24.5978
273.262,25.5275
273.279,23.4935
273.302,25.7482
273.331,23.9132
273.365,23.1808
273.394,25.8746
273.435,22.6855
273.456,23.3309
273.465,23.279
273.538,21.6003
273.572,26.517
273.575,22.4745
273.588,21.8642
273.594,26.6356
273.67,25.8523
273.685,23.7615
273.728,25.7805
273.747,23.4981
273.751,26.4736
273.815,25.8119
273.821,22.572
273.854,23.5421
273.888,25.3945
273.931,26.5661
273.947,25.5702
273.953,26.0922
273.964,26.1419
273.968,23.6298
273.987,26.1251
274.02,25.8117
274.033,26.592
274.074,20.618
274.074,25.8014
274.108,26.059
274.116,23.1151
274.12,26.2363
274.128,26.4248
274.129,24.8189
274.133,21.0104
274.172,23.188
274.214,25.5076
274.221,25.8269
274.222,25.7085
274.228,21.6173
274.32,25.6743
274.369,25.9728
274.377,26.0142
274.397,26.1391
274.422,22.1696
274.426,25.8382
274.457,20.8572
274.459,25.539
274.497,25.0941
274.509,24.3551
274.537,25.3676
274.563,24.9935
274.564,24.1652
274.573,25.7399
274.573,26.0608
274.604,24.9896
274.611,24.2734
274.642,25.9675
274.645,24.0168
274.652,25.5365
274.665,25.4731
274.676,25.228
274.699,25.1637
274.728,24.319
274.739,24.8255
274.776,25.6254
274.795,25.7059
274.831,23.6269
274.839,23.9078
274.871,25.7496
274.906,25.6069
274.919,23.8544
274.935,25.2899
274.94,24.4975
274.991,24.4353
275.059,24.2703
275.079,23.9196
275.084,25.3628
275.122,24.4334
275.174,24.9971
275.175,24.4193
275.185,24.4311
275.25,24.7032
275.262,24.5935
275.297,23.9637
275.297,25.6514
275.3,25.0856
275.303,24.8797
275.318,25.3857
275.332,24.4639
275.353,23.9966
275.358,23.9056
275.396,23.364
275.41,23.8671
275.416,24.4775
275.422,25.1122
275.424,25.663
275.464,23.7031
275.48,24.2063
275.491,25.7467
275.501,24.3834
275.514,23.8816
275.522,23.9291
275.527,24.546
275.54,24.9576
275.547,23.59
275.56,25.0999
275.648,24.3283
275.657,24.0468
275.679,24.6809
275.684,24.7648
275.699,23.8894
275.702,23.85
275.715,24.6238
275.727,24.5573
275.744,23.8193
275.768,23.7243
275.775,24.653
275.788,24.2769
275.841,24.0266
275.847,24.155
275.855,24.8788
275.87,23.9814
275.871,23.9048
275.895,24.7674
275.934,23.3807
275.957,23.3505
275.986,23.9671
276.024,24.6411
276.046,24.1841
276.049,24.5272
276.088,23.5636
276.099,24.4457
276.113,24.3363
276.189,23.8355
276.197,23.8421
276.228,23.7504
276.23,23.5783
276.238,23.8987
276.278,24.0928
276.326,23.927
276.406,23.763
276.497,23.618
276.514,23.9177
276.539,23.5963
276.546,23.6322
276.559,23.809
276.642,23.7952
276.811,23.7374
276.89,24.0992
276.909,23.7335
276.914,23.9224
277.05,23.8445
277.133,23.6958
277.147,24.152
277.161,23.8415
277.245,23.8164
277.286,23.8353
277.32,23.9416
277.401,23.9353
277.451,23.798
277.455,23.8319
277.489,23.8099
277.497,23.8121
277.51,23.8309
277.512,23.7927
277.564,24.1567
277.583,24.0466
277.673,23.8844
277.706,23.8397
277.711,23.8313
277.775,23.8294
277.858,23.815
277.909,23.8035
277.914,23.8688
277.948,24.2844
277.99,24.4371
278.003,23.8105
278.086,23.8145
278.145,23.8191
278.154,23.8011
278.31,23.8751
278.533,23.8444
278.682,23.892
279.242,23.8057
279.386,24.0111
279.569,23.7632
279.872,28.9119
279.891,30.2861
279.955,24.223
280.063,28.5337
280.17,29.5831
280.313,31.5305
280.412,25.0841
280.431,31.3521
280.476,28.4942
280.493,29.1616
280.566,31.3526
280.571,30.937
280.602,29.6364
280.636,31.3078
280.677,30.069
280.684,30.8277
280.7,31.2984
280.742,31.5571
280.748,30.9246
280.757,31.0604
280.801,31.6183
280.803,30.5833
280.819,30.6107
280.935,31.8764
280.959,31.9378
281.026,31.8439
281.033,30.777
281.196,31.1943
281.249,30.9958
281.269,31.8695
281.334,31.5543
281.338,31.5785
281.399,31.8395
281.415,31.9988
281.477,31.9374
281.478,31.7498
281.505,31.282
281.505,31.3332
281.528,32.3251
281.558,31.6123
281.564,31.4039
281.577,31.8752
281.616,31.8018
281.638,31.4071
281.642,32.0399
281.673,32.1333
281.71,32.278
281.761,32.0393
281.77,32.4239
281.819,31.352
281.827,31.3885
281.851,32.1119
281.86,31.4669
281.884,32.1098
281.914,32.0028
281.937,32.1942
281.948,32.1929
281.956,31.4903
281.984,32.0792
282.004,31.8987
282.072,31.6481
282.121,23.1242
282.133,32.1407
282.146,31.8922
282.241,31.9206
282.248,31.5132
282.317,32.7904
282.325,31.5111
282.338,31.9996
282.342,32.5872
282.375,31.9962
282.432,32.3572
282.434,32.3657
282.507,32.3896
282.543,32.3598
282.551,32.3761
282.569,32.71
282.592,32.3684
282.629,31.8223
282.664,31.989
282.67,32.7615
282.675,32.8992
282.805,32.8562
282.85,33.1399
282.857,32.7518
282.866,31.7879
282.885,32.9938
282.975,31.8519
282.979,31.8944
283.014,32.0424
283.018,32.9266
283.028,33.0477
283.074,33.3284
283.107,32.9776
283.137,32.6254
283.186,33.0632
283.217,33.2888
283.249,33.2228
283.413,33.3161
283.445,32.6087
283.454,32.7095
283.537,32.5499
283.583,32.7994
283.694,33.8401
283.698,33.3951
283.732,33.4981
283.742,33.9558
283.789,32.9095
283.798,33.5426
283.844,33.1791
283.852,34.1109
283.898,33.7598
283.939,32.7166
283.965,33.1356
283.992,33.7311
283.993,34.0618
284.026,33.4758
284.062,33.7747
284.064,33.2817
284.068,33.1875
284.125,33.518
284.133,34.1415
284.138,33.6841
284.161,33.0336
284.171,33.9984
284.172,33.9449
284.182,33.6733
284.2,33.1898
284.211,33.8673
284.219,34.9821
284.23,34.7639
284.246,32.8985
