lon,lat
120.02,20.8931
120.029,20.9654
120.05,20.7444
120.069,20.8558
120.157,20.7824
120.277,20.1307
120.314,21.3472
120.32,21.0137
120.372,21.0092
120.377,21.4756
120.396,20.7214
120.417,20.0511
120.421,20.7699
120.438,20.1457
120.481,20.8929
120.487,20.7575
120.497,20.3628
120.55,21.3433
120.577,20.0795
120.579,21.5713
120.597,21.5997
120.598,21.2496
120.612,20.2287
120.688,20.2885
120.74,20.9625
120.75,20.9217
120.753,20.3682
120.764,20.0068
120.819,20.056
120.878,20.8152
120.879,20.775
120.898,21.4765
120.904,21.1655
120.918,20.4337
120.95,20.4468
121.001,20.5942
121.043,20.2855
121.066,20.5079
121.072,20.7048
121.095,20.9049
121.151,21.2089
121.154,20.0808
121.276,20.3922
121.278,20.7088
121.283,21.1445
121.331,20.4377
121.342,20.0924
121.365,20.323
121.412,20.1801
121.442,20.2207
121.537,20.3957
121.718,20.3522
121.73,20.193
121.731,21.8143
121.732,20.5616
121.732,20.6543
121.839,20.0068
121.955,20.1224
122.023,21.7301
122.374,25.2435
122.402,25.232
122.409,25.288
122.411,25.1641
122.429,24.1078
122.447,23.8077
122.455,25.1479
122.496,25.1238
122.506,25.4225
122.522,21.313
122.522,25.7679
122.55,24.9384
122.558,20.8841
122.56,25.1892
122.572,25.2412
122.582,24.6543
122.587,25.2992
122.596,25.287
122.617,24.9952
122.624,25.016
122.628,25.2471
122.64,25.3501
122.652,25.3119
122.659,22.6996
122.674,24.6856
122.689,25.1617
122.701,25.0222
122.703,24.556
122.704,21.1458
122.714,25.0848
122.739,25.5042
122.744,24.8366
122.773,25.7124
122.781,26.1512
122.787,25.8921
122.788,25.3574
122.796,25.3859
122.807,25.3195
122.823,25.2293
122.831,25.2514
122.837,25.4213
122.895,25.5311
122.896,25.4431
122.901,23.2057
122.915,25.1715
122.923,23.0096
122.94,22.591
122.945,25.7883
122.961,24.2172
122.968,25.6256
122.976,24.6928
122.987,25.2991
122.991,26.0641
123.015,25.7333
123.016,25.1746
123.016,26.0776
123.058,24.3287
123.059,24.8801
123.065,25.7248
123.074,25.0685
123.082,26.329
123.092,24.813
123.108,25.93
123.116,25.7085
123.131,26.3285
123.135,25.1112
123.252,25.4893
123.289,25.8669
123.334,25.6143
123.343,25.5584
123.354,25.761
123.361,26.0512
123.373,25.7055
123.43,26.3644
123.449,25.6704
123.457,25.7113
123.466,25.3245
123.521,25.3548
123.539,25.0269
123.55,25.8677
123.557,26.3042
123.565,25.8886
123.578,25.0626
123.58,24.72
123.722,24.647
123.741,25.5712
123.775,25.7655
123.8,25.4076
123.825,25.8584
123.874,24.756
123.889,25.3127
123.947,24.851
123.954,25.9442
124.01,26.1654
124.081,25.8797
124.121,25.9988
124.193,25.3615
124.222,25.4882
124.271,25.3365
124.278,26.0256
124.306,26.1763
124.446,26.1828
124.623,25.3685
124.702,25.9313
124.725,25.8628
124.75,25.8736
124.752,26.6124
124.755,26.1698
124.827,26.7478
124.879,26.4607
124.908,25.4259
125.009,25.369
125.079,25.938
125.087,26.6852
125.164,26.8676
125.244,25.2912
125.247,26.0919
125.317,26.4803
125.341,26.5563
125.371,26.9009
125.428,26.893
125.445,25.5551
125.563,26.8735
125.605,27.6592
125.668,25.9342
125.675,26.7578
125.712,27.516
125.771,27.4709
125.836,25.8451
125.839,26.1165
125.841,26.2278
125.858,27.0364
125.859,26.1698
125.894,26.6943
125.981,27.0866
125.991,27.1624
126.001,27.2714
126.09,27.5481
126.176,26.8971
126.232,27.8872
126.25,28.2894
126.279,27.0181
126.28,27.4658
126.288,27.9841
126.338,26.8074
126.362,27.7512
126.435,27.3561
126.472,27.691
126.507,27.6251
126.529,27.8314
126.535,28.1057
126.586,28.2105
126.604,28.5109
126.635,28.3134
126.658,27.0894
126.665,27.1307
126.79,28.9437
126.82,28.6146
126.848,27.413
126.851,27.1018
126.889,28.5655
126.911,27.6694
126.915,28.5836
126.923,28.9259
126.925,29.2195
126.928,27.8844
126.946,28.6522
126.946,29.0001
126.967,27.5662
126.972,29.222
126.992,30.113
127.001,28.5581
127.008,28.6886
127.046,27.8673
127.051,28.36
127.081,29.6109
127.118,28.2808
127.181,30.6642
127.188,29.2433
127.241,30.3998
127.244,29.094
127.253,28.9628
127.289,29.2735
127.317,30.9794
127.329,29.1339
127.348,28.3237
127.353,28.51
127.356,28.9413
127.404,29.3244
127.471,28.016
127.498,30.2575
127.547,29.7247
127.559,29.2788
127.569,29.3199
127.581,28.2066
127.616,30.8253
127.652,28.6882
127.661,29.2631
127.661,29.4686
127.685,29.3256
127.729,29.8957
127.738,29.286
127.767,29.3822
127.785,29.1931
127.808,29.5783
127.86,29.2604
127.873,28.9704
127.881,29.3813
127.883,29.6777
127.892,29.1882
127.895,29.6883
127.91,28.5711
127.96,29.4504
127.968,29.7217
127.969,29.4888
128.002,29.2248
128.003,29.1159
128.047,29.3855
128.048,29.5846
128.059,30.1599
128.068,29.6211
128.071,30.1602
128.094,29.6922
128.096,29.5771
128.103,30.1049
128.124,28.7
128.128,29.2718
128.14,30.2144
128.146,33.5296
128.16,29.8043
128.201,29.5745
128.285,30.25
128.316,29.4557
128.326,29.8703
128.354,29.4225
128.394,28.5562
128.413,29.6187
128.42,28.5835
128.453,29.5823
128.46,29.8459
128.481,30.0856
128.515,30.4235
128.521,29.4374
128.531,30.4122
128.542,30.4926
128.561,30.2795
128.571,29.7171
128.572,30.2372
128.586,30.2031
128.659,30.1857
128.741,29.4947
128.751,29.8322
128.838,30.3167
128.879,30.4213
128.886,29.9347
128.896,30.2876
128.911,29.8938
128.921,29.1659
129.115,30.2518
129.128,29.081
129.357,38.201
129.38,29.7655
129.453,29.0596
129.467,29.0802
129.505,38.1121
129.568,38.149
129.587,27.3467
129.618,37.9894
129.651,38.0459
129.675,37.9396
129.707,27.456
129.707,30.006
129.71,27.4529
129.733,29.827
129.846,37.7183
129.93,29.65
129.969,29.6321
130.001,29.6012
130.082,30.0993
130.116,29.9434
130.125,29.6339
130.151,36.5544
130.186,29.6511
130.227,37.2048
130.234,37.3105
130.244,37.171
130.411,30.1218
130.47,29.4373
130.768,35.4205
130.852,30.226
130.857,29.5278
130.911,35.374
130.929,35.4389
130.946,35.1608
130.995,28.9067
131.026,30.019
131.07,29.989
131.129,30.4426
131.135,30.2578
131.146,29.1525
131.241,35.2127
131.247,29.9342
131.255,30.3046
131.263,30.0096
131.299,30.4268
131.306,30.1381
131.312,29.4539
131.313,30.4199
131.332,35.5798
131.357,30.2607
131.357,30.3209
131.361,29.8751
131.396,30.1292
131.407,30.4877
131.513,30.7312
131.533,30.2078
131.571,29.9843
131.59,30.3634
131.605,29.5969
131.617,29.8919
131.626,35.4988
131.656,30.837
131.659,29.4782
131.673,28.8279
131.694,29.5632
131.694,30.1625
131.717,30.0489
131.737,29.8456
131.76,29.6926
131.773,30.4047
131.831,29.3793
131.887,29.4676
131.971,29.7574
131.974,30.438
131.986,30.4365
131.995,30.4963
132.035,31.4059
132.063,31.033
132.099,30.8896
132.1,31.1472
132.117,31.5293
132.161,30.6043
132.179,30.847
132.188,30.6603
132.19,30.4064
132.22,31.0563
132.221,31.0314
132.24,31.2938
132.262,31.4391
132.263,31.8479
132.267,31.484
132.272,30.9612
132.272,31.6528
132.286,30.3798
132.296,31.2658
132.312,30.9205
132.341,31.5254
132.36,31.19
132.366,31.2377
132.372,30.1613
132.377,31.1955
132.439,30.5526
132.447,30.9917
132.461,31.3299
132.469,31.2768
132.479,30.7557
132.49,31.3022
132.508,31.5702
132.509,29.504
132.514,30.6596
132.519,36.2622
132.592,36.2993
132.601,29.9604
132.62,31.3227
132.632,29.9275
132.686,29.6825
132.707,31.4291
132.754,31.1427
132.779,30.9023
132.78,30.7215
132.78,31.3234
132.815,31.5776
132.847,31.992
132.875,31.4258
132.941,36.7485
132.993,31.8548
133.021,30.452
133.038,30.7148
133.154,30.2643
133.31,30.5314
133.36,31.4954
133.553,37.8191
133.567,37.8202
133.717,37.8759
133.82,31.5286
133.82,31.9034
133.901,31.6371
133.925,31.1764
134.073,38.0288
134.089,31.4104
134.228,38.1724
134.305,31.3748
134.469,29.8904
134.508,31.6281
134.556,31.7639
134.577,32.8475
134.632,31.3853
134.664,29.9357
134.689,31.4734
134.831,32.6387
134.858,32.6977
134.922,30.3579
134.988,31.9688
134.998,32.4191
135.038,31.5744
135.132,31.5549
135.172,31.737
135.177,29.9017
135.185,29.7679
135.291,31.8567
135.32,32.4868
135.334,31.6254
135.39,31.8846
135.417,31.8353
135.421,30.516
135.544,32.0771
135.582,30.2694
135.63,30.0525
135.659,30.3088
135.672,32.808
135.699,32.0175
135.727,30.2364
135.76,30.13
135.793,32.0826
135.812,30.2438
135.859,32.2444
135.951,29.8875
136.033,30.5963
136.041,32.8574
136.076,30.2273
136.118,30.0482
136.176,32.8556
136.205,29.7993
136.228,32.9058
136.289,32.1549
136.297,31.7736
136.31,32.0563
136.4,32.7753
136.407,30.413
136.435,30.0959
136.461,33.0248
136.477,30.5851
136.557,32.9431
136.634,32.1266
136.666,31.9519
136.682,32.3354
136.705,31.6381
136.706,31.7767
136.71,32.0166
136.745,30.0376
136.773,31.5777
136.778,31.5146
136.787,31.4597
136.837,30.1387
136.86,33.0853
136.869,31.7524
136.9,31.7407
136.904,31.5967
136.908,31.4471
136.992,33.2771
137.023,32.9535
137.034,33.0733
137.074,33.0917
137.145,32.9604
137.151,31.2809
137.157,31.5186
137.161,30.4976
137.196,32.8907
137.281,32.8181
137.403,32.0109
137.403,33.4868
137.431,33.1414
137.443,31.4261
137.512,32.3184
137.544,31.6222
137.608,33.1219
137.626,33.6234
137.633,32.4228
137.634,32.358
137.744,33.5962
137.745,33.0678
137.747,32.2906
137.757,33.9317
137.763,33.9183
137.815,32.4445
137.821,32.6813
137.84,33.4707
137.903,33.6815
137.922,33.5754
137.925,33.872
137.999,32.8667
138.001,32.349
138.005,33.4585
138.021,32.6229
138.033,32.3162
138.041,33.8154
138.059,33.043
138.065,33.0058
138.067,33.9257
138.074,31.6917
138.085,33.2128
138.088,31.9091
138.136,32.579
138.138,33.1531
138.324,32.2672
138.358,32.1679
138.403,32.4191
138.408,32.3792
138.408,33.2881
138.443,32.8527
